finding_id,theme,type,statement,example,relations
F426,Transition,recommendation,Find out what the capacity gap actually is before designing the support. Anchor what you build in an institution rather than in whoever currently holds the post.,"Nigeria — rather than assuming what the ministry's gaps were, the cluster commissioned a capacity gap analysis first, on the basis that describing capacity as weak does not tell you what to fund.",
F109,Fundamentals,recommendation,"Protect information management and coordination capacity through the transition, and treat IM as infrastructure rather than reporting. What is handed over should be a working system, not a set of files.",,
F119,Transition,recommendation,Plan re-activation before deactivation. Embed coordination in emergency preparedness plans so that preparedness reviews ask who convenes and who does information management in the next emergency. Readiness accountability does not end with the cluster.,,
F708,Fundamentals,context,"An outbreak crossing a shared border is reported from both sides, but each country coordinates through its own platform and no forum brings the neighbours together.","Chad — cholera in the west is understood to originate from the outbreak in the neighbouring country, which is separately reporting a cross-border dimension with three of its neighbours.",
F333,Transition,barrier,"Handover dates are set by when a contract or funding line ends, not by whether the receiving institution can take the work on. The two are unrelated, but only one of them appears in the decision.",Ethiopia — a six-month handover deadline was set internally and tied to the coordinator's contract ending. The humanitarian coordination office agreed six months was not enough; the timetable did not change.,
F335,Transition,context,"Clusters are closing because funding runs out, not because national systems are ready to take over. This one fact drives many of the others: planning gets rushed, steps get skipped, and the structure comes apart all at once.","Iraq — international humanitarian funding fell from around 1.8 billion to 265 million US dollars, which forced an accelerated transition.",
F283,Transition,barrier,"When coordination moves from international to national hands, some tasks end up being done twice and others simply stop. This happens because nobody wrote down what was being done in the first place.","Iraq — coordination functions were redistributed across several successor arrangements without the links between them being set out, and newly established area structures were later found to cover only part of the displaced population.",
F307,Transition,barrier,"Government rarely organises itself the way the sector does. Water may sit with one ministry, sanitation with another and hygiene with neither, so there is no single counterpart able to receive a WASH handover. Sectors with one line ministry move through deactivation markedly faster than those split across two.","Haiti — a transition handed water and sanitation to the water authority and hygiene and water quality to the health ministry, a split the successor coordination arrangement then had to work across.",
F374,Transition,barrier,"Capacity is always assessed. Willingness rarely is. A government may be unable to take a role, or unwilling to take responsibility for particular groups, or a party to the conflict, or inclined to let politics shape who gets what. Coordinators were clear that this is a separate question, and the one usually left unasked.",Lebanon — government was not willing to take over the response for certain population groups. Coordinators were explicit that this was distinct from a capacity constraint.,
F1711,Transition,barrier,"Information continuity breaks first and is felt soonest. Coordinators ranked it ahead of funding. As structures change, information flows break and the evidence base becomes hard to maintain, at exactly the point transition decisions depend on it.","Iraq — sustaining information flows proved difficult as coordination mechanisms restructured, and maintaining an accurate evidence base became harder as the transition itself changed shape.",
F320,Transition,enabler,"Information assets can be sorted deliberately instead of handed over as a bundle. Separate what should align with government systems from the start, such as master facility lists and asset inventories, from what is internal to humanitarian coordination. Build the first jointly, so it stays useful to the institution receiving it.","Colombia — an inventory of the cluster's information resources was compiled as part of transition planning, so products could be summarised and handed over rather than lost.",
F324,Transition,enabler,"Where development financing was secured for the successor structure, the transition stopped depending on the humanitarian funding cycle. The arrangements that worked were specific: sequencing tied explicitly to continued financing, and multi-year seconded posts paid from development programme funds.","Iraq — a two-year seconded position was financed through development programme funds to accompany the successor structure. It happened because an individual pushed it through the country office, not because a route existed for it.",
F373,Transition,enabler,"The endpoint cannot be assumed to be government. Depending on the country it may be a national institution with its own funding, a national society, or a development platform. Where a national organisation simply replaces an international one doing the same work with the same money, it is worth asking what was actually transferred. A national NGO may not exist next year, which makes it a less durable endpoint than an institution with independent funding.","Ukraine — the transition endpoint was scoped as a national institution with durable funding and a formal civil protection mandate, rather than defaulting to a line ministry.",
F346,Transition,practice,"Preparation that worked started earlier and in a different order. First reconstruct how the structure was formed and how earlier transitions went. Then run the stakeholder and willingness analysis, before drafting the strategy. Then produce a costed transfer plan with risks and an inventory of what is being handed over, developed with the receiving institution rather than for it.","Colombia — a costed transfer plan was prepared with a risk analysis and an inventory of information resources, to be validated by the humanitarian coordinator and the clusters.",
F421,Transition,recommendation,"Design the successor architecture before deactivation, not during it: written mandates, named participants, formal links to national and development frameworks, and a stated home for each function that has to survive. Those functions are technical standards, analysis and prioritisation, information management, partner mapping, risk analysis, and provider of last resort.",,
F378,Transition,enabler,"Successor arrangements that held had three things: a written terms of reference, named participants including the line ministry and development funders, and a home inside a structure that already existed and would outlast the cluster, rather than a new body created for the purpose.","Colombia — the proposed successor is a specialised technical roundtable inside an existing inter-institutional environmental health commission, which already convenes the relevant government bodies.",
F700,Transition,practice,"Transitions in progress are being sequenced in recognisable ways. The line ministry takes the lead with an NGO co-coordinator alongside. International posts are nationalised. Co-chairing is introduced at subnational level first, then national. A roadmap is validated with the ministry before workshops begin.","Nigeria — transition to government-led coordination began at the start of the year, with the line ministry taking the lead supported by an NGO co-coordinator, and a state advisory group to endorse the plan and provide continuing oversight.",
F227,ABC,barrier,"Area structures are often stood up with no agreed mandate and no rules on who takes part, who decides, or how priorities are set. Units have been activated across a country and then asked clusters what they were supposed to do. Where the rules are missing, influence follows whoever speaks most and whoever brings money. Bringing in local actors does not fix that on its own, because they bring their own hierarchies too.",Myanmar — an arrangement placing paid coordinators alongside the elected chairs was not set out in any guidance; the cluster learned of it informally and had to assemble a comparison of the documents itself.,
F282,ABC;Transition,barrier,"National, subnational and area structures often have no shared statement of who leads what, with what mandate, and how something gets escalated between them. National frameworks do not translate into coordination on the ground, and the gaps only show up when something has to be decided quickly.",Ukraine — the successor arrangement had no operational coordination mandate at subnational level to rest on.,
F001,ABC,barrier,"Information and decisions go around the cluster. Where area structures report upward through a separate operational cell, needs information takes a longer route before it reaches anyone who can act on it. Where subnational coordinators are approached directly, the national team cannot see what was asked or answered.","Somalia — subnational coordinators were asked for allocation input without the national coordinator copied in, and the cluster first saw the allocation strategy when a partner forwarded it.",
F220,ABC,barrier,"Decisions that need sector expertise are increasingly taken in structures that do not have it: choosing indicators, assessment methods, response modality, technical standards. Quality assurance is weak as a result. Three cluster functions in particular have not been replicated by area structures: technical leadership, data analysis and sector advocacy. This matters more for WASH than for most sectors, because mistakes in water quality or cholera response cause harm quickly.",Myanmar — subnational clusters were redefined as technical advisers and stopped holding standing meetings. During a sudden emergency no forum held the question of who was working where.,
F260,ABC,barrier,Being in the room is not the same as deciding anything. Local actors are reliably present in area structures and reliably without authority in them. The structure adds a reporting duty while leaving decisions about priorities and money exactly where they were.,Ukraine — local actors participated in coordination structures but had limited influence over decisions and over resources.,
F214,ABC;Transition,barrier,"Where a central platform runs alongside cluster reporting, partners enter the same activity in both. Reporting is the first thing partners drop when overloaded, so data quality falls in both systems rather than one.","Sudan — some states moved to create a separate outbreak coordination platform with its own information management, alongside the existing cluster reporting.",
F203,ABC,barrier,"An area-based layer was meant to reduce fragmentation. Where an intersectoral tier already existed, it added another set of meetings instead. The informal channels that prompted the reform carried on alongside all of it.","Somalia — the drought response revealed uneven sectoral delivery, with actors operating in the same areas without a shared planning framework.",
F240,ABC,barrier,"Partners engage with whichever platform the money sits behind. As prioritisation moves to area structures, participation follows it. Where funding mechanisms sit outside the established coordination structures altogether, collective prioritisation weakens.",,
F209,ABC,enabler,"Area structures and clusters work alongside each other well where the roles and links between them are written down. Where they are not, the same two structures duplicate work and leave gaps. The evidence does not deliver a verdict on area-based coordination as a whole. It delivers one on how it is set up.","Palestine — a working division of labour has the cluster providing the analytical framework, area structures collecting data within it, and the cluster retaining the analysis.",qualifies:F001
F1712,ABC,enabler,Structures at community level link coordination directly to delivery and improve alignment across sectors. Agencies with a strong local presence have used them to lead joint access negotiations that a national platform could not.,Haiti — area-based coordination let agencies with established local presence lead joint access negotiations with armed groups and community members.,
F102,ABC,recommendation,"Set a minimum terms of reference for area structures, function by function. Take the cluster core functions one at a time and say which must stay with the cluster, which can move, and which are shared. Then require a named WASH focal point with defined technical requirements, written escalation routes, and a stated owner for the analysis framework.",,
F1103,ABC;Transition,context,"Coordination runs as a government-led sector rather than an activated cluster, because the government does not want activation. The sector operates inside a national system, and the authorities' position is that support should go to subnational coordination rather than to national co-leadership.",Haiti — coordination operates as a government-led sector; the authority's position is that national-level co-leadership is not needed.,
F002,ABC,enabler,"Where the coordination structure mirrors the government's own, provincial authorities can take decisions without referring them upward. Operational questions and partner-level discussion are handled better than a national platform can manage.","Mozambique — the cluster structure reflects the government structure, because every province has a strong provincial administration.",
F310,Transition,context,The architecture changes without anyone deciding to change it. Platforms drop from two levels to one while the target grows. Ministry reforms dissolve the counterpart body the cluster worked with. An NGO coordination committee closes and collective NGO coordination goes with it. None of it is framed as a deactivation decision.,Burkina Faso — a ministry reform merged water into a larger ministry and dissolved the emergency technical secretariat that had been the cluster's counterpart.,
F210,ABC,context,"What people call area-based coordination differs enormously between countries. In one it is a permanent division of the country into zones, each led by a UN organisation covering two or three states. In another it is organised around transition, durable solutions and peace rather than around day-to-day service coordination.","South Sudan — the country is divided into zones led permanently by UN organisations, which the coordination team distinguished from area-based coordination as described in global guidance.",
F013,ABC,context,"Area-based coordination was brought in to offset an architecture seen as UN-centred and distant from district level. Where it met resistance, coordinators put that down to how it was introduced rather than to the idea. Community consultation and local prioritisation were not themselves disputed.",Somalia — resistance reflected the way the model was introduced rather than the model itself.,
F034,ABC,context,"A zonal coordination layer chaired by the humanitarian coordination office replaced the subnational intersectoral tier, with clusters repositioned as technical advisers. In one area partners formally asked for the previous arrangement to be retained, and it was kept in place pending a decision.",Myanmar — partners in one area formally demanded that the previous subnational cluster arrangement be retained.,
F613,Fundamentals,barrier,"There is often no usable baseline to measure need against. Censuses predate the crisis by close to a decade. No in-depth severity analysis has been produced nationally for years. Where the joint assessment was not run, the response plan rested on secondary data alone, or on small exercises by regional directorates covering nobody systematically.","Sudan — the most recent census dates from 2016–18, so there is no established baseline the current caseload can be measured against.",
F910,Fundamentals,barrier,"The joint assessment rarely covers what the sector needs. Coverage stops short of the whole country, and the areas left out are often those the conflict changed most. The number of sector questions is capped, so only part of a standard measure fits. Whether host communities are included goes unresolved. Clusters that wrote the questions have then been left out of enumerator training. Two population assessments may run at once covering different groups.","South Sudan — only four of the twelve water insecurity questions could be accommodated in the joint tool, so the severity scale had to be reinterpreted around them.",
F211,Fundamentals,barrier,"Needs data arrives through channels that do not line up, on cycles that do not match planning. Projects covering several sectors have to be reported separately under each one, so an integrated project never appears anywhere as a single thing. New platforms ask partners to re-enter months of work.","Mali — three separate channels collect needs data, including a government framework running twice a year on a cycle that does not align with planning.",
F263,ABC;Fundamentals,enabler,"Shared data systems and common assessment frameworks are what make joint analysis and sensible prioritisation possible. Coordinators ranked better data sharing as the single strongest enabler of area-based coordination, and fragmented data and governance as the strongest barrier.",Palestine — better data sharing was associated directly with better coordination and more coherent prioritisation of needs.,
F600,Fundamentals,enabler,"Structured expert judgement alongside survey data produces a more usable analysis than either on its own. Where data quality is uneven or the situation moves fast, state and district coordinators weigh the survey results against what they know. Adding historical outbreak and disaster data, infrastructure damage and displaced-to-host ratios gives an area-level picture the household survey cannot. Running needs figures, vulnerability analysis and planning as one exercise engages the same people once instead of three times.","Sudan — expert judgement is built in at state level alongside the survey, because data quality and the pace of change make survey results alone unreliable.",
F057,Fundamentals,barrier,"WASH data carries risks other sectors' data does not. Infrastructure locations and chemical stocks have dual-use sensitivity, which makes classifying them harder than for sectors whose products cannot be exploited operationally. Rules on collecting location data differ between areas of the same country, and subnational data on violations is published openly on platforms no cluster controls.","Myanmar — classification proved harder for WASH than for other sectors, because infrastructure locations and chemical stocks carry a dual-use risk.",
F1603,Fundamentals,recommendation,"Assessment data is generally used to produce needs figures and severity, then goes no further. Gap analysis for allocations falls back on response plan figures several months old. An analysis output designed for operational use, not only for the planning cycle, would make the same data usable again.",,
F1308,Transition,enabler,"Assessment systems owned by government outlast the cluster. A government water point assessment, a government-owned aid information system and a ministry-owned facility assessment are all being built as national infrastructure. Facility and asset mapping is one of the strongest bridges to development actors, because it gives them something they need anyway.","Ethiopia — a government-developed water point assessment system, capturing access at admin 3 level, is being built and will continue to be led by government.",
F356,Transition,recommendation,"Successor reporting systems should be light, digital and built for phones, not copies of cluster tools. Simplifying the partner template while keeping the same system asks less of partners without losing the data. Keeping the same figures in more than one format lets partners with different technical capacity take part.",,
F907,Fundamentals,practice,"Where the formal process did not fit, coordination teams worked around it rather than waiting. A rapid needs assessment needing an approval that took months was reframed as a rapid technical assessment and went ahead. With the central planning module suspended, the sector built its own reporting form covering activities, locations and costing, and estimated its appeal from partner inputs.","Lebanon — the rapid needs assessment was reframed as a rapid technical assessment, which allowed shelter assessments to proceed while the approval was outstanding.",
F1114,Fundamentals,practice,"Where the joint assessment is capped or absent, sectors run their own exercises alongside it rather than accepting the gap. Examples include an annual water network performance review and thematic response packs each carrying its own assessment tools.","Bangladesh — because the joint assessment caps sector questions, the sector runs an annual water network performance review with a partner alongside it.",
F1404,Fundamentals,barrier,"WASH is not treated as a priority in national decision-making or in humanitarian funding, even where the need registers clearly. It goes unfunded in pooled fund rounds, leaving the cluster to ask other sectors to carry WASH activities in their proposals. Where a single strategic outcome is set above sector level, anything outside it stays unfunded.","Colombia — the sector's main humanitarian donor prioritises protection, health and education, funding very little WASH directly.",
F234,Fundamentals,barrier,"Local actors are not kept out of coordination because anyone doubts they are capable. They are kept out because taking part costs money, and because most of what reaches the sector still goes to UN agencies. Lower costs then make localisation an attractive way to shrink a response, without the funding system changing to match.","Bangladesh — around one eighth of the pooled fund allocation reaching the sector went to international NGOs, and the remainder to UN agencies.",
F243,ABC,barrier,"Nobody agreed who pays for area-based structures. The terms of reference and the guidance differ on the point, so it falls between them. Dedicated platforms have had to be created because no funding mechanism supports integrated working, and matching money to area-based targeting has proved consistently hard.",,
F618,Fundamentals,barrier,"Allocation moves faster than the analysis behind it. Localities have been selected within forty-eight hours on a model the cluster had never seen. Strategy changed repeatedly inside a single round. Several proposals arrive to be assessed in a day, and global guidance that did exist was not passed on in country. Rapid entry and exit from communities follows, which carries its own risk of harm.","Sudan — the prioritisation exercise required localities to be chosen within forty-eight hours, and a written explanation of the cluster's concerns did not change the approach for that allocation.",
F508,Fundamentals,enabler,"Where the cluster brings the analysis, it gets a say. What moved allocation decisions was concrete: a matrix of recommended municipalities with the reasoning behind it, adding local NGOs to a review committee that had been entirely international, framing the ask around complementarity with nutrition and food security, and a shared scoring sheet with deliberate overlap between reviewers.",Colombia — in the second allocation round the clusters were consulted and asked to submit a matrix recommending municipalities together with the reasoning.,
F323,Transition,barrier,"Currency collapse left utilities unable to pay for basic operations, even after repairs financed internationally. Recovery money stayed blocked for years behind political deadlock. Reconstruction finance goes through UN agencies because it cannot be given directly. Where investment changed the economics — replacing emergency trucking with solar-powered piped systems — cost per cubic metre fell by more than ninety per cent.","Lebanon — water establishments could not fund basic operations after currency collapse, even where repairs had been financed internationally.",
F258,ABC;Transition,barrier,"Paid coordinator posts are created alongside elected chairs, with the job descriptions written centrally. Untranslated material and language barriers keep local actors out of the substantive discussion. Local organisations stay marginal in designing a transition, even where they carry it out. The position is local; the decisions shaping it are not.","Myanmar — paid area coordinator posts were created alongside the elected chairs and co-chairs, with the job descriptions drafted centrally.",
F259,ABC;Transition,enabler,"Local actors take formal leadership roles often enough. Full ownership of the response is a further step, and it is rarely reached. Where it moved at all, international actors backed local decision-making rather than keeping a parallel process running next to it. Appointing local NGOs as co-chairs does measurably increase wider participation.",Indonesia — international organisations shifted to supporting existing local leadership instead of maintaining parallel systems.,
F1015,ABC;Transition,practice,"Where localisation is measured rather than asserted, the tools are concrete: a capacity assessment scoring the sector against localisation commitments, partner capacity mapping focused on local NGOs and women-led organisations, national NGOs co-coordinating at subnational level, and national organisations leading the country assessment programme or chairing the outbreak technical group.","Bangladesh — a localisation capacity assessment was carried out with global support, scoring where the sector stands against the localisation commitments.",
F107,Transition,recommendation,"What moved government engagement was ordinary and unglamorous: setting agendas together, inviting ministry staff to chair coordination meetings, field visits to meet newly appointed officials after briefing them first, and switching counterpart where the formal ministry turned out not to operate in emergencies.","Colombia — when the regulatory water ministry proved not to be operational during emergencies, the cluster moved its transition counterpart to the health ministry.",
F304,Transition,barrier,"Government keeps its own monitoring platform and collects partner data separately while the cluster system is still running, so partners report twice. Data the cluster needs sits in national registries it cannot easily reach. The ministry has not taken on convening the meeting it is meant to lead. Each of these stalls national leadership rather than moving towards it.","Burkina Faso — government moved to collect partner activity data itself on the basis that the data should be nationally held, alongside the cluster's own collection.",
F1307,Transition,context,"Government increasingly sets the terms of assessment. It leads the assessment outright for some sectors, lets others use their own tools but requires the results to be endorsed, and can delay or withhold authorisation. Preparatory work is done ahead of approval to avoid losing the collection window altogether.","Ethiopia — government will lead the food, agriculture and nutrition assessments; other sectors may run their own tools, but the results have to be endorsed by the ministry.",
F513,ABC,context,Access and conflict set the limits on what coordination can reach. Armed group control confines communities and cuts them off from water sources. A large disaster in a province with no prior cluster presence found no partners established there. An outbreak runs at the same time as the coordination change rather than waiting for it.,"Colombia — armed group control of territory confines communities and restricts movement, cutting access to rivers and water sources.",
F1728,ABC,barrier,"The provider-of-last-resort commitment is not seen as practically relevant by the agencies holding it, and gaps continue to go unfilled. That removes part of the justification for agency-led sector leadership.","Recorded in the 2007 evaluation of the cluster approach and again in a 2025 INGO position paper. Eighteen years apart, independently, the same conclusion.",
F1901,Fundamentals,barrier,"Organisations arriving after a sudden-onset disaster mostly approach the sector without knowing what a cluster is or how coordination is arranged in the country, so the coordination team spends the first weeks explaining the system rather than running it.","Venezuela: more than fifty organisations made contact after the earthquake; around a dozen memberships were concluded, and the same pattern was reported from a separate response in the region.",
F1902,Fundamentals,barrier,"Organisations deployed for a short rapid-response window cannot say what they will do afterwards, so the coordination team cannot judge whether admitting them establishes a lasting relationship or a temporary one.",,
F1904,Fundamentals,barrier,Incoming organisations that implement without engaging the coordination structure put at risk relationships with national authorities that took the humanitarian community years to build.,"Venezuela: authorities became measurably more willing to meet coordination structures after the earthquake, an opening that predates none of the new arrivals.",
F1905,Fundamentals,barrier,Staff hired on one- and two-month emergency contracts bypass established coordination because delivering inside their contract leaves no time to work at the structure's pace.,,
F1912,Fundamentals,barrier,"Services that fall between sector mandates are routinely left out of planning because no sector owns them — waste management between shelter and WASH, and laundry, washing and cooking space in displacement sites.","Venezuela: at community level waste management merges with debris removal, which is a municipal and state responsibility rather than a humanitarian one.",
F1916,Transition,barrier,"Post-disaster recovery assessment and planning is convened between government and development finance actors, and sector coordination structures have no defined route into it even though the reconstruction being planned is theirs.",Venezuela: clusters were not involved at the outset of the post-disaster needs assessment and learned about it indirectly through agency programme sections.,
F1917,Fundamentals,practice,"Assessment design for the planning cycle improved on two fronts at once: household-level data collection replacing key-informant interviews, and a common instrument across separate sudden-onset events so both feed one analysis.",,
F1920,Fundamentals,practice,"A partner capacity map built in the first week of a response records who is present but goes out of date as funding and activities shift; the instrument that lasted was built later, with partner input, and extended to new settings as demand appeared.","Venezuela: the mapping tool is being extended from displacement sites and communities to health facilities, with schools expected to follow.",
F224,Fundamentals,barrier,"Local actors have limited access to funding, to the rooms where decisions are made, and to long-term institutional support. A sudden influx of international actors makes it worse, because they compete for access and partnership as well as for money.","Venezuela: established national organisations reported feeling displaced after the earthquake, not only for funding but for access to affected areas.",
F1723,Fundamentals,barrier,"Reported reach cannot be taken at face value. Partners running small-budget interventions report figures far beyond what the budget could deliver, and coordination teams respond by capping the total — so published reach understates the response rather than overstating it.","Syria: a partner spending a fraction of a large agency's budget claimed the same reach, and the coordination team capped the reported figure. The same behaviour is reported from Yemen, where whole communities have been counted as reached.",
F608,Fundamentals,barrier,"There is no single basis for counting people reached in WASH, because the two kinds of work do not compare. Rehabilitating a shared system serves a whole catchment; distributing items reaches identifiable people. Without an agreed method the same activity can be counted several different ways.",One approach tried in more than one response derives a ceiling from the budget: a stated intervention cost implies a maximum plausible share of the catchment population.,
F1930,Fundamentals,enabler,Moving partner reporting off spreadsheets onto a shared platform improved reporting quality markedly and gave the coordination team control over data and reporting frequency that spreadsheets never allowed.,"Syria: 86 partners report directly, and the platform now carries activity reporting, budgeting, partner capacity, stock data and a service-mapping dashboard.",
F1931,Fundamentals,barrier,"Pressure to reconcile reported reach against available budget is pushing the reporting debate toward a binary of direct and indirect beneficiaries. That distinction fits WASH poorly, because repairing a shared water system is a direct intervention serving a whole population.",,
F024,Transition,context,"Readiness below national level varies sharply, even where national arrangements are agreed. Some subnational authorities convene and record coordination and others do not. A single national handover date then lands on very different starting points.","Nigeria: national arrangements are agreed, but the local government link is not in place and departments need mentoring before they can carry coordination.",
F319,Transition,enabler,"Where the response plan is not the language of government, data often is. Information management support that adds value to government's own reporting gets traction where coordination advocacy does not.","Mozambique: the government asked for a per-partner report showing who is doing what and where, which the sector now produces from partner reporting.",
F395,ABC;Transition,recommendation,"Archive cluster products somewhere a country-level closure cannot reach. Tools, assessment instruments and technical decisions built over years disappear when a coordinator leaves or a cluster closes, and rebuilding them later costs more than storing them now.","Iraq: files were archived with continuous online access maintained, so the record survived deactivation.",
F408,ABC;Transition,enabler,"Preparedness built before an emergency is ready on day one of the next. Localised contingency plans, prepositioned stock and tools built during an earlier response were ready when the response itself was not.",Lebanon: a partner site booking sheet and linked reporting database from a previous emergency worked from day one of the following one.,
F015,ABC,barrier,"Where prioritisation moves to area-based or pooled-fund structures, the sector's role narrows to technical review of proposals. Where the coordinator post is vacant, the sector is not in the decisive meetings at all.","Mali: allocation arbitration meetings are where the significant decisions are taken; with the post vacant the sector was not in the room, and it showed in the final allocation strategy.",
F031,ABC;Transition,practice,"Co-coordination roles are being opened competitively rather than renewed by default, with published terms of reference and expressions of interest. The processes are proving harder to finish than to start.","Somalia: after eight years with the same co-coordinating agency the cluster opened a competitive process, while considering keeping the outgoing agency in a roving support role.",
F040,ABC,barrier,"The link between area structures and the cluster is undefined in both directions. There is no shared statement of who does what, no route for escalating a problem, and no forum where area-level issues add up into a national picture.","Lebanon: area groups work in detail locally but there is no equivalent operational discussion centrally, so issues stay compartmentalised.",
F506,ABC;Transition,barrier,Short implementation windows and strict life-saving priority tiers push funding towards supplies and away from the infrastructure the same areas are identified as needing. The durable work is deferred response after response.,"Mali: what the pooled fund finances stops at emergency kits, while the need in the prioritised areas is boreholes and latrines.",
F609,ABC;Transition,enabler,"A working sector reporting system can be bridged to a central platform rather than replaced. Where teams knew that option existed, they kept the system they had invested in and migrated the data instead of abandoning it.","Haiti: on learning a derogation was possible, the sector migrated rather than abandon a platform built over years and shared with development actors.",
F022,Transition,practice,"Humanitarian coordination is being placed inside development structures ahead of transition. Sector information is channelled into a ministry's development platform, or a standing humanitarian item is held on a development agenda.","Libya: a development-oriented WASH platform carried a standing humanitarian agenda item, so humanitarian briefing continued inside a development structure.",
F318,Transition,barrier,Government counterparts expected to receive coordination have no information management function of their own. They rely on cluster information to know which partners are working where.,Ethiopia: government has no mechanism to establish who is doing what and relies on the cluster for it; partners come to the cluster for the same reason.,
F016,ABC,barrier,"Allocation decisions are settled by negotiation rather than against the evidence. Priority areas come from a pre-approved list, and sector envelopes are rebalanced at closing meetings.",South Sudan: the sector envelope was cut by around a third at the closing meeting.,
