id,country,date_raised,request,area,owner_role,status,source_id,notes
FU028,NGA,2026-07-17,"Review the multi-sector needs assessment indicator list against the global analysis package, including indicators from other sectors",assessment,gwc-assessment,open,S105,Country to share the full assessment plan.
FU029,NGA,2026-07-17,Mentoring support for the government information management officer once recruited,im,gwc-im,open,S105,Focal point identified on the global side.
FU030,NGA,2026-07-17,Connect the country with neighbouring countries facing the same cross-border outbreak,abc,gwc-coordination,open,S105,Shared space for materials proposed.
FU031,NER,2026-07-13,Share the donor analysis example used elsewhere in the region to complete the country advocacy strategy,advocacy,gwc-coordination,open,S106,Country reports not having received it; to be resent.
FU032,NER,2026-07-13,Follow up on the status of the multi-sector needs assessment and enumerator training,assessment,gwc-assessment,open,S106,Collection was due in July; country to query and revert.
FU033,NER,2026-07-13,Work with the country on severity and needs calculations once assessment data is available,assessment,gwc-assessment,open,S106,Country to share last year's calculation sheet and this year's questionnaire.
FU034,NER,2026-07-13,Call to reconcile the discrepancy between the reporting platform and the dashboard totals,im,gwc-im,open,S106,Affects the people-reached figure.
FU035,LBN,2026-07-23,"Share the secondary data review on transition, including documented cases of handover to local actors or public utilities",transition,gwc-coordination,open,S107,Country explicitly asked whether such arrangements hold in practice.
FU036,LBN,2026-07-23,"Support a coordination performance review customised to the context, surveying partners and ministries rather than the coordination team",abc,gwc-coordination,open,S107,Proposed as the basis for redesigning the subnational structure.
FU037,LBN,2026-07-23,Share capacity mapping and capacity development examples to define what a future coordination structure should do and what it would need,transition,gwc-coordination,open,S107,
FU038,LBN,2026-07-23,Country to share the area coordination group terms of reference and the rapid technical assessment indicators for the coordination toolkit,abc,country-cluster,open,S107,Offered as reusable examples; nothing from this context currently in the toolkit.
FU039,LBN,2026-07-23,Connect the country with the advocacy focal point to consolidate thematic briefing notes into a single country-level position,advocacy,gwc-coordination,open,S107,
FU040,BGD,2026-07-17,Review the intersectoral assessment indicator list and build an intersectoral analysis plan including WASH,assessment,gwc-assessment,open,S108,Country to share questionnaire and data analysis plan.
FU041,BGD,2026-07-17,Share the inter-cluster responsibility matrices to support the discussion on which sector owns contested services,abc,gwc-coordination,open,S108,Country has a signed local agreement but the responsibility is still disputed in practice.
FU042,BGD,2026-07-17,"Support analysis linking WASH indicators to nutrition and health outcomes, to strengthen the funding case",advocacy,gwc-assessment,open,S108,Causal analyses in other sectors already point to sanitation as a driver.
FU043,BGD,2026-07-17,Share advocacy strategy resources for maintaining sector visibility under sustained funding decline,advocacy,gwc-coordination,open,S108,
FU044,BGD,2026-07-17,Separate call on the area-based coordination pilot and local partner capacity mapping,abc,gwc-coordination,open,S108,Country to send a written request; call to be scheduled.
FU045,BGD,2026-07-17,Explore support to a pre-crisis WASH baseline for disaster-prone districts,assessment,gwc-assessment,open,S108,Government infrastructure data exists but is not analysed as a baseline.
FU046,HTI,2026-07-13,Explore financial support to cover coordination functions the country office cannot fund into next year,funding,gwc-management,open,S109,Includes bringing the 2027 national coordinator in early enough to overlap with the outgoing post.
FU047,HTI,2026-07-13,Connect the incoming standby deployee with the global information management focal point to plan capacity building of the volunteer officers,im,gwc-im,open,S109,Deployee background is in another sector.
FU048,HTI,2026-07-13,Feedback on the country assessment toolkit ahead of the planned revision,assessment,gwc-assessment,open,S109,Country has scheduled the revision from August.
FU049,HTI,2026-07-13,Support the needs and severity calculation once assessment data is available,assessment,gwc-assessment,open,S109,
FU050,HTI,2026-07-13,Confirm with the reporting platform team whether a derogation and data migration is possible for the existing government-shared system,im,country-cluster,open,S109,Country to raise; flexibility confirmed to exist at global level.
FU051,MOZ,2026-07-03,Take up the central reporting platform rollout at global level; country to forward the notification email,im,gwc-im,open,S110,Change was not discussed at intersectoral or country team level; cuts across humanitarian-development reporting integration.
FU052,MOZ,2026-07-03,"Technical support on bridging the existing reporting system to the central platform, including data schema comparison",im,gwc-im,open,S110,
FU053,MOZ,2026-07-03,"Separate call on needs assessment tools, indicator bank and secondary data review support",assessment,gwc-assessment,open,S110,To follow the internal country meeting.
FU054,MOZ,2026-07-03,"Share flood prediction and river basin analysis approaches, framed for presentation to government contingency planning",assessment,gwc-im,open,S110,Country suggests pitching to government rather than running it as a cluster activity.
FU055,MOZ,2026-07-03,Explore short-term financial support for staffing continuity through the response planning cycle and finalisation of the transition strategy,funding,gwc-management,open,S110,Both coordinators double-hatting; external support ends in August.
FU056,MOZ,2026-07-03,Country to share its analytical framework and last year's severity calculation as examples for other contexts,assessment,country-cluster,open,S110,Offered during the call.
FU057,MOZ,2026-07-03,Share core pipeline documentation packages from comparable contexts,abc,gwc-coordination,open,S110,
FU058,ETH,2026-06-23,"Raise the transition timeline with global management, contrasting it with the enablers identified at the workshop",transition,gwc-management,open,S111,Country reports the coordination office also considers six months insufficient.
FU059,ETH,2026-06-23,Archive the country assessment tools and products centrally before the coordination function ends,im,gwc-assessment,open,S111,Explicitly requested so several years of material is not lost.
FU060,ETH,2026-06-23,Share the government water point assessment questionnaire to inform the global facility assessment form,assessment,country-cluster,open,S111,Regional assessment report offered.
FU061,ETH,2026-06-23,Follow-up call before the coordinator departs to establish what remains transferable,transition,gwc-coordination,open,S111,Requested by the country for two to three weeks' time.
FU062,BFA,2026-06-23,Share the donor analysis and advocacy strategy examples developed in comparable contexts in the region,advocacy,gwc-coordination,open,S112,Country to share its own note for feedback once drafted.
FU063,BFA,2026-06-23,"Session on needs assessment tools, the revised indicator bank and a needs assessment strategy template",assessment,gwc-assessment,open,S112,Template already tested in another context; may need translation.
FU064,BFA,2026-06-23,"Bilateral session on reconciling central platform indicators with how the response is actually counted, particularly repairs versus new construction",im,gwc-im,open,S112,Current framework would double-count people reached.
FU065,BFA,2026-06-23,Review the public dashboard and note improvement areas,im,gwc-im,open,S112,Rebuilt using another country's dashboard as a model.
FU066,BFA,2026-06-23,Plan for both scenarios on the multi-sector assessment — with and without it — given funding and authorisation are both unconfirmed,assessment,gwc-assessment,open,S112,If collection does not start in July the data will not be ready for planning.
FU067,MLI,2026-07-28,Bilateral contact with country management on options for maintaining coordination and information management capacity beyond mid-August,funding,gwc-management,open,S113,Both remaining posts end; a consultancy or standby deployment was discussed.
FU068,MLI,2026-07-28,"Identify a standby or consultant profile combining coordination and information management, with prior country experience",transition,gwc-coordination,open,S113,Specific former staff suggested by the country.
FU069,MLI,2026-07-28,"Direct support on response planning documentation — indicators, objectives, methodology notes and analytical framework",assessment,gwc-coordination,open,S113,Country has 30 per cent of one person available against the planning deadlines.
FU070,MLI,2026-07-28,Country to share last year's needs and severity calculation package and tools as a contingency,assessment,country-cluster,open,S113,Explicitly agreed in case the post ends before the analysis is done.
FU071,MLI,2026-07-28,Update the sector dashboard once partner reporting for recent months is collected,im,gwc-im,open,S113,
FU072,MLI,2026-07-28,Check whether peer-to-peer technical exchange resources exist on faecal sludge management in displacement sites,abc,gwc-coordination,open,S113,Thematic group being activated; partners lack experience in the area.
FU073,SSD,2026-07-29,"Support the needs and severity calculation from the joint assessment, including the water insecurity scale",assessment,gwc-assessment,open,S114,Written feedback on the indicator selection already provided.
FU074,SSD,2026-07-29,"Share the analysis output template and dashboard once finalised, to get more from the joint assessment than needs figures alone",assessment,gwc-assessment,open,S114,Data reshaping is the constraint; no agreement in place with the assessment lead.
FU075,SSD,2026-07-29,Guidance on mapping country indicators and objectives into the central planning platform,im,gwc-im,open,S114,Country-level indicators diverged from global ones last round.
FU076,SSD,2026-07-29,Support the revision of the sector operational framework with the partner working group,abc,gwc-coordination,open,S114,First meeting scheduled; global participation invited.
FU077,SSD,2026-07-29,"Share outbreak preparedness and response materials, including risk communication, for adaptation by the existing working group",abc,gwc-coordination,open,S114,Explicit caution not to duplicate or compete with the existing structure.
FU078,SSD,2026-07-29,Share a proposal scoring template and approach for large review rounds,funding,gwc-coordination,open,S114,Around seventy proposals to review with limited reviewers.
FU079,SSD,2026-07-29,Support activity-based unit costing for the planning cycle,funding,gwc-coordination,open,S114,Started previously but stalled for lack of capacity.
FU080,SYR,2026-08-06,"Develop global guidance on WASH beneficiary counting, distinguishing large-scale rehabilitation from distribution",im,gwc-im,open,S115,Raised as the constraint on reporting reach credibly. A country task force produced a guideline the coordinator is not confident in. Comparable problems reported elsewhere. Global lead committed to pick this up the following week; examples offered from two other contexts where reach was bounded by budget size.
FU081,SYR,2026-08-06,"Share the country's needs analysis framework — indicators, thresholds and questions used",assessment,gwc-assessment,open,S115,"Offered by the country during the call, for comparison with other contexts."
FU082,SYR,2026-08-06,"Convene a session on migrating partner reporting from spreadsheets to the central platform, drawing on this country's experience since 2023",im,gwc-im,open,S115,Country offered to contribute. Relevant wherever the same migration is under way.
FU083,SYR,2026-08-06,Support intersectoral analysis of the joint assessment data once available,assessment,gwc-assessment,open,S115,"Country asked for help going deeper into the household data for intersectoral linkages, not only WASH indicators."
FU084,TCD,2026-07-21,"Review and comment on the draft transition roadmap, and organise the support offer around it",transition,gwc-coordination,open,S116,Country offered to share the draft. Global side committed to a consolidated response covering comments and available support.
FU085,TCD,2026-07-21,"Provide direct drafting and analysis support for the transition documents, not routed through the country coordinator",transition,gwc-coordination,open,S116,Explicitly requested. The coordinator is an emergency specialist absorbed by a cholera outbreak and other emergencies; the request is for support that does not depend on her availability.
FU086,TCD,2026-07-21,"Offer public health and outbreak coordination support — training materials, epidemiological analysis, partner monitoring",transition,gwc-coordination,open,S116,"Offered during the call. To be routed to the emergency specialist by email rather than through this interlocutor, at his suggestion."
FU087,VEN,2026-08-10,"Share the WASH–Health cross-cluster responsibility matrix, plus a short summary version of the main shared activities, ahead of the bilateral with the health sector",coordination,global-support,open,S119,"A lighter version used in an earlier response was mentioned as more readable than the full matrix"
FU088,VEN,2026-08-10,"Arrange a peer exchange with the coordination team from another response in the region that handled a comparable influx of unaffiliated organisations after a sudden-onset disaster",peer-learning,regional-support,open,S119,"Offered as lessons learned on registration forms and on bringing new arrivals into the structure"
FU089,VEN,2026-08-10,"Offer data-crunching support and a secondary data review to help process assessment data for the coming planning cycle",information-management,global-support,open,S119,
FU090,VEN,2026-08-10,"Share the Power BI dashboard template that ingests multi-sector needs assessment data in standard structure, and hold a session on it once the first draft is ready",information-management,global-support,open,S119,"Country team confirmed interest; timing lines up with their data collection phase"
FU091,VEN,2026-08-10,"Co-design a strategic session with donors and key actors on lessons from the response, including what incoming organisations should avoid and ensure",advocacy,country-coordination,open,S119,"Country team wants preparation time rather than a rushed session; technical events already planned for September"
FU092,VEN,2026-08-10,"Share examples of partner capacity-mapping instruments from other responses",information-management,global-support,open,S119,"Country instrument already well advanced and being extended to institutions"
